player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0033870,428,231,197,31,12,0.1341991341991342,0.06091370558375635,Solomon Thomas,DL,DAL
00-0036480,710,404,306,54,27,0.13366336633663367,0.08823529411764706,Dayo Odeyingbo,DL,CHI
00-0037615,836,487,349,65,34,0.13347022587268995,0.09742120343839542,Nakobe Dean,LB,PHI
00-0029607,1028,578,450,77,32,0.13321799307958476,0.07111111111111111,Demario Davis,LB,NO
00-0039340,591,340,251,45,21,0.1323529411764706,0.08366533864541832,Laiatu Latu,DL,IND
00-0036409,976,583,393,77,37,0.1320754716981132,0.09414758269720101,Jordyn Brooks,LB,MIA
00-0035643,769,403,366,53,34,0.1315136476426799,0.09289617486338798,Jeffery Simmons,DL,TEN
00-0032442,493,214,279,28,33,0.1308411214953271,0.11827956989247312,Elandon Roberts,LB,LV
00-0036441,767,401,366,52,41,0.12967581047381546,0.11202185792349727,"Kenneth Murray, Jr.",LB,DAL
00-0036967,537,340,197,44,21,0.12941176470588237,0.1065989847715736,Joe Tryon-Shoyinka,DL,CHI
00-0031583,700,403,297,52,25,0.12903225806451613,0.08417508417508418,Grady Jarrett,DL,CHI
00-0031364,607,342,265,44,17,0.1286549707602339,0.06415094339622641,Jadeveon Clowney,DL,DAL
00-0035933,667,366,301,47,23,0.1284153005464481,0.07641196013289037,Michael Hoecht,LB,BUF
00-0027962,543,304,239,39,19,0.12828947368421054,0.0794979079497908,Cameron Jordan,LB,NO
00-0034760,532,273,259,35,21,0.1282051282051282,0.08108108108108109,Nathan Shepherd,DL,NO
00-0039829,417,203,214,26,28,0.12807881773399016,0.1308411214953271,Darius Muasau,LB,NYG
00-0032424,526,289,237,37,22,0.12802768166089964,0.09282700421940929,DJ Reader,DL,DET
00-0036658,688,375,313,48,38,0.128,0.12140575079872204,Isaiah McDuffie,LB,GB
00-0036335,424,227,197,29,9,0.1277533039647577,0.04568527918781726,D.J. Wonnum,LB,CAR
00-0034754,364,236,128,30,9,0.1271186440677966,0.0703125,Oren Burks,LB,CIN
00-0033381,791,484,307,61,34,0.12603305785123967,0.11074918566775244,Adam Butler,DL,LV
00-0035636,555,286,269,36,32,0.1258741258741259,0.11895910780669144,L.J. Collier,DL,ARI
00-0032164,535,326,209,41,11,0.12576687116564417,0.05263157894736842,Arik Armstead,DL,JAX
00-0035316,1035,591,444,74,34,0.12521150592216582,0.07657657657657657,Kaden Elliss,LB,ATL
00-0034973,711,417,294,52,34,0.12470023980815348,0.11564625850340136,Maxx Crosby,DL,LV
